node,type,mc,adjusted_capacity
1,onshorewind,5,21712
1,offshorewind,5,7318
1,solar,5,11593
1,biomass,75,2427
1,otherres,20,164
1,gas,150,4965
1,hardcoal,120,1456
1,lignite,100,17
1,oil,250,312
1,waste,5,258
2,onshorewind,5,12563
2,offshorewind,5,1533
2,solar,5,11211
2,biomass,75,898
2,otherres,20,3
2,gas,150,2311
2,hardcoal,120,934
2,lignite,100,3068
2,oil,250,313
2,waste,5,189
3,onshorewind,5,8005
3,offshorewind,5,0
3,solar,5,11120
3,biomass,75,1027
3,otherres,20,985
3,gas,150,3408
3,hardcoal,120,559
3,lignite,100,901
3,oil,250,216
3,waste,5,360
4,onshorewind,5,7422
4,offshorewind,5,0
4,solar,5,10896
4,biomass,75,990
4,otherres,20,196
4,gas,150,8670
4,hardcoal,120,3702
4,lignite,100,5487
4,oil,250,485
4,waste,5,371
5,onshorewind,5,6390
5,offshorewind,5,0
5,solar,5,16891
5,biomass,75,1092
5,otherres,20,1578
5,gas,150,3152
5,hardcoal,120,5718
5,lignite,100,0
5,oil,250,624
5,waste,5,178
6,onshorewind,5,4015
6,offshorewind,5,0
6,solar,5,28582
6,biomass,75,2107
6,otherres,20,1836
6,gas,150,5710
6,hardcoal,120,397
6,lignite,100,3699
6,oil,250,747
6,waste,5,186